"SEN","09/03/2026","3","2495.4858","0.0012","21.4479","927.4515","21501.0408","273.0942","335.318","2303.0776","1520.6412","2616.3001","1367.0066"
"SEN","09/03/2026","4","2245.1433","0.0013","16.3841","795.8295","21334.6275","274.1687","334.9237","2337.6842","1520.9827","2616.3268","1285.8533"
"SEN","09/03/2026","5","2273.4869","0.0011","17.4254","803.0576","21347.0797","272.135","335.204","2295.0682","1521.5439","2629.228","1288.2709"
"SEN","09/03/2026","6","2357.1487","0.001","23.5104","960.129","21310.4394","268.0824","335.936","2629.879","1522.3921","2628.6797","1413.1639"
"SEN","09/03/2026","7","2884.1247","17.4965","22.003","980.4506","22087.5743","271.1817","336.666","2991.0034","1522.7397","2684.5361","1506.102"
"SEN","09/03/2026","8","3320.7381","657.8054","23.2686","977.3938","22411.7602","263.9582","336.621","3026.8049","1523.1259","2723.1804","1549.8207"
"SEN","09/03/2026","9","3162.9542","3262.9979","19.3587","976.9046","21939.1798","237.7424","336.271","2736.9971","1523.5387","2706.4916","1599.6328"
"SEN","09/03/2026","10","3715.3638","4876.4866","17.4011","976.4808","21407.4033","238.7289","335.3876","2059.5689","1523.5809","2710.5036","1563.946"
"SEN","09/03/2026","11","3955.3209","5418.943","10.1865","976.7332","21296.4693","247.1766","333.1668","1917.5628","1522.6874","2716.5992","1539.1234"
"SEN","09/03/2026","12","3979.1622","5866.3034","16.8668","1007.6169","21319.6955","262.8198","332.7892","1870.8621","1520.8471","2748.056","1536.3362"
"SEN","09/03/2026","13","3930.8976","5785.5538","15.9149","1076.3427","21584.8764","273.079","336.2911","2294.6232","1519.6029","2728.8502","1390.0509"
"SEN","09/03/2026","14","3937.0796","5416.9095","14.934","1346.3796","22341.2657","247.6417","334.4421","2493.3604","1518.9079","2821.7772","1346.0774"
"SEN","09/03/2026","15","3909.6708","5043.1182","15.7687","1425.7397","22994.1407","312.9661","333.5499","2479.4303","1517.6898","3115.9232","1351.3968"
"SEN","09/03/2026","16","4216.8473","4094.3992","18.1431","1438.2679","23290.8031","405.8985","333.9481","3383.2179","1516.1618","3305.0987","1379.1379"
